key,sender,senderID,addressee,addresseeID,senderDate,senderPlace,senderPlaceID,page,notes,edition
1,Robert Volkmann,11876912X,Robert Schumann,118611666,1840?-03-04,Prag,https://www.geonames.org/3067696,1,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
2,Robert Volkmann,11876912X,Robert Schumann,118611666,1840-06-03,Szemeréd,,3,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
3,Robert Volkmann,11876912X,Robert Schumann,118611666,1841-04-04,Szemeréd,,5,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
4,Robert Volkmann,11876912X,Friedrich Whistling,139011064,1841-08-11,Pest,https://www.geonames.org/3046446,10,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
5,Robert Volkmann,11876912X,August Schmidt,117501816,1842-09-25,Pest,https://www.geonames.org/3046446,11,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
6,Robert Volkmann,11876912X,August Schmidt,117501816,1842-10-04,Pest,https://www.geonames.org/3046446,13,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
7,Robert Volkmann,11876912X,August Schmidt,117501816,1842-10-14,Pest,https://www.geonames.org/3046446,15,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
9,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1847-06-06,Pest,https://www.geonames.org/3046446,17,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
10,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1847-07-09,Pest,https://www.geonames.org/3046446,20,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
11,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1847-08-11,Pest,https://www.geonames.org/3046446,21,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
12,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1847-09-27,Pest,https://www.geonames.org/3046446,22,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
13,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1847-12-31,Pest,https://www.geonames.org/3046446,25,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
14,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1848-03-09,Pest,https://www.geonames.org/3046446,29,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
15,Robert Volkmann,11876912X,Wilhelm Rust,116711728,1848-04-20,Pest,https://www.geonames.org/3046446,32,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
16,Robert Volkmann,11876912X,Wilhelm Rust,116711728,"{1849-08-27,1849-08-28}",Pest,https://www.geonames.org/3046446,36,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
17,Robert Volkmann,11876912X,Wilhelm Rust,116711728,"{1849-11-09,1849-11-10}",Pest,https://www.geonames.org/3046446,47,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
18,Robert Volkmann,11876912X,Wilhelm Rust,116711728,"{1850-07-17,1850-07-18}",Pest,https://www.geonames.org/3046446,65,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
19,Robert Volkmann,11876912X,Franz Liszt,118573527,1850-11-06,Pest,https://www.geonames.org/3046446,59,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
20,Robert Volkmann,11876912X,Franz Liszt,118573527,1851-12-06,Pest,https://www.geonames.org/3046446,61,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
21,Robert Volkmann,11876912X,Ferdinand David,102199191,1852-02-12,Pest,https://www.geonames.org/3046446,63,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
22,Robert Volkmann,11876912X,Franz Liszt,118573527,1852-02-15,Pest,https://www.geonames.org/3046446,66,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
23,Robert Volkmann,11876912X,Moritz Volkmann,120306212,1853-01-14,Pest,https://www.geonames.org/3046446,67,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
24,Robert Volkmann,11876912X,Carl Gurckhaus,116930535,1853-02-03,Pest,https://www.geonames.org/3046446,69,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
25,Robert Volkmann,11876912X,August Ferdinand Anacker,116303042,1853-05-14,Pest,https://www.geonames.org/3046446,71,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
26,Robert Volkmann,11876912X,Breitkopf & Härtel,64766-4,1853-06-09,Pest,https://www.geonames.org/3046446,74,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
27,Robert Volkmann,11876912X,Carl Gurckhaus,116930535,1853-10-22,Pest,https://www.geonames.org/3046446,75,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
28,Robert Volkmann,11876912X,Breitkopf & Härtel,64766-4,1853-11-26,Pest,https://www.geonames.org/3046446,76,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
29,Robert Volkmann,11876912X,Carl Gurckhaus,116930535,1853-11-27,Pest,https://www.geonames.org/3046446,78,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
30,Robert Volkmann,11876912X,Carl Gurckhaus,116930535,1853-12-05,Pest,https://www.geonames.org/3046446,80,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
31,Robert Volkmann,11876912X,Balthasar Elischer,1073364992,1854-01-05,Hof bei Riesa,https://www.geonames.org/2902765,80,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
32,Robert Volkmann,11876912X,Balthasar Elischer,1073364992,"{1854-02-22,1854-02-25}",Hof bei Riesa,https://www.geonames.org/2902765,88,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
33,Robert Volkmann,11876912X,Richard Pohl,116260564,1854-03-06,Dresden,https://www.geonames.org/2935022,90,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
34,Robert Volkmann,11876912X,Balthasar Elischer,1073364992,1854-04-06,Wien,https://www.geonames.org/2761369,91,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
35,Robert Volkmann,11876912X,Carl Gurckhaus,116930535,1854-05-08,Wien,https://www.geonames.org/2761369,92,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
36,Robert Volkmann,11876912X,Balthasar Elischer,1073364992,1854-06-22,Wien,https://www.geonames.org/2761369,94,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
37,Robert Volkmann,11876912X,Ignaz Pfeffer,,1854-09-17,Wien,https://www.geonames.org/2761369,100,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
38,Robert Volkmann,11876912X,Franz Brendel,119020742,1854-10-11,Wien,https://www.geonames.org/2761369,101,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
39,Robert Volkmann,11876912X,August Gottfried Ritter,116570881,1854-12-05,Wien,https://www.geonames.org/2761369,102,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
40,Robert Volkmann,11876912X,Friederike Hammer,,1855-01-11,Wien,https://www.geonames.org/2761369,103,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
41,Robert Volkmann,11876912X,Carl Gurckhaus,116930535,1855-01-26,Wien,https://www.geonames.org/2761369,105,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
42,Robert Volkmann,11876912X,Wilhelmine Elischer,,"{1855-05-04,1855-05-05}",Wien,https://www.geonames.org/2761369,107,,"Hans Volkmann (Hrsg.), Briefe von Robert Volkmann, Leipzig 1917"
